Model / Paradigm,R2 Score,RMSE,ROC-AUC,Precision,Recall,F1 Score,CSI (q90),Brier Score,Spatial SSIM
Persistence Baseline (t=0),-0.6986707448959351,0.00017700626686225658,N/A,N/A,N/A,N/A,0.08165678230205954,N/A,0.22716376622070056
Climatology Baseline (Monthly),0.05916780233383179,0.00013173165218634513,N/A,N/A,N/A,N/A,0.08405094474289769,N/A,0.2886106810364567
Existing ConvGRU (Deep Learning Reference),0.0775,0.00013572,0.5821,0.3650,0.1420,0.2045,0.0513,0.2150,0.5847
New ML: Two-Stage Hurdle Model,-0.029855089417107905,0.00013782313441934032,0.6156,0.3593,0.4987,0.4177,0.11092697069709653,0.2359,0.25556434568811637
