Model / Paradigm,R2 Score,RMSE,Pearson r,Spatial SSIM,FSS (9x9),CSI (q90),Mass Error (%)
Persistence Baseline (t=0),-0.6430747509002686,0.00870235416953956,0.5548465618699502,0.596046762998964,0.49365856999256574,0.129797382472605,5.762314796447754
Climatology Baseline (Monthly),0.682978093624115,0.003822546155988964,0.8344060984307748,0.7116985882891983,0.34686789747144353,0.09413573406087473,1.4716267585754395
Existing ConvGRU (Deep Learning Reference),0.5859,0.0043176,0.7745,0.5998,0.2116,0.0788,1.12
New ML: Regularized Ridge (Multi-scale Spatial),0.6926920413970947,0.003763526920571531,0.8352080596214211,0.7190399504587298,0.36526390079592097,0.09068381510195107,0.8114278316497803
New ML: LightGBM (Multi-scale Spatial),0.6930225539725019,0.003761502274771893,0.8330078938160765,0.7089526062128974,0.3481251880770824,0.09166687798394137,0.03532351979151915
