Model / Paradigm,R2 Score,RMSE,Pearson r,Spatial SSIM,FSS (9x9),CSI (q90),Mass Error (%)
Persistence Baseline (t=0),0.1852436661720276,1.0368463369939459e-05,0.6298603000604511,0.6439037616135644,0.7186934996823795,0.29843882519154763,6.154435873031616
Climatology Baseline (Monthly),0.5315876007080078,7.861668921108693e-06,0.7402564240441906,0.7356439963227412,0.6427421750592404,0.29873390459020777,4.577815532684326
Existing ConvGRU (Deep Learning Reference),0.5085,8.1092e-06,0.7186,0.8936,0.6551,0.3368,2.15
New ML: LightGBM (Engineered Features),0.5479038550197208,7.723531781783063e-06,0.7485656746368519,0.7292902816514499,0.6757189778030895,0.31904220102695124,3.8222491517375223
