Pollutant,Model / Pipeline,R2 Score,RMSE (mol/m^2),Pearson r,SSIM,FSS (9x9),CSI_q90,POD_q90,Mass Conservation Error (%)
NO2,Stage 1: Climatology Baseline (Anomaly=0),0.5315876007080078,7.861668921108693e-06,0.7402564240441906,0.7356439963227412,0.6427421750592404,0.29873390459020777,0.3627967170904033,4.577815532684326
NO2,Stage 1: Persistence Baseline (Anom=Anom(t0)),-0.01798272132873535,1.1589660715040795e-05,0.5115261542837218,0.607156303329546,0.6294511429599075,0.22610881992141227,0.4130665802488288,4.30721640586853
NO2,Stage 2: Gradient Boosted Anomaly Regressor,0.5203782310652919,7.955179423821403e-06,0.7370961486483664,0.7304359762395014,0.6349852808186265,0.2920480514480466,0.34979869850453615,5.860246993468621
CO,Stage 1: Climatology Baseline (Anomaly=0),0.682978093624115,0.003822546155988964,0.8344060984307748,0.7116985882891983,0.34686789747144353,0.09413573406087473,0.20727382638552486,1.4716267585754395
CO,Stage 1: Persistence Baseline (Anom=Anom(t0)),-0.5237549543380737,0.008380417599954906,0.5224376386224677,0.5775766499706956,0.39595731018019503,0.09656000999021722,0.29494209017906997,5.470895767211914
CO,Stage 2: Gradient Boosted Anomaly Regressor,0.645259140081605,0.004043558231077517,0.8178680985200522,0.6735882588097306,0.3563541256990589,0.08619999599329871,0.21219325666433775,1.8365572739243552
SO2,Stage 1: Climatology Baseline (Anomaly=0),0.05916780233383179,0.00013173165218634513,0.2845393074433968,0.2886106810364567,0.5235491536679815,0.08405094474289769,0.11235752321249262,0.24957656860351562
SO2,Stage 1: Persistence Baseline (Anom=Anom(t0)),-0.6721706390380859,0.0001756201574799906,0.09624841060327649,0.22893113587967684,0.49989249325189433,0.07090833005134232,0.13139628275197077,27.16977596282959
SO2,Stage 2: Gradient Boosted Anomaly Regressor,0.05718932779068142,0.00013187009156082153,0.2808519884077702,0.28656735973524267,0.5309751942509511,0.0855412944245689,0.11729816819598744,2.291186754105845
